,Player,GP,REC,YDS,YDS/G,AVG,LNG,TD,Team,REC/GP
0,Keenan Allen,13,108,1243,95.6,11.5,42,7,CHI,8.307692307692308
1,CeeDee Lamb,17,135,1749,102.9,13.0,92,12,DAL,7.9411764705882355
2,Tyreek Hill,16,119,1799,112.4,15.1,78,13,MIA,7.4375
3,Amon-Ra St. Brown,16,119,1515,94.7,12.7,70,10,DET,7.4375
4,Michael Pittman,16,109,1152,72.0,10.6,75,4,IND,6.8125
5,Justin Jefferson,10,68,1074,107.4,15.8,52,5,MIN,6.8
6,Evan Engram,17,114,963,56.6,8.5,34,4,JAC,6.705882352941177
7,T.J. Hockenson,15,95,960,64.0,10.1,29,5,MIN,6.333333333333333
8,Stefon Diggs,17,107,1183,69.6,11.1,55,8,HOU,6.294117647058823
9,Ja'Marr Chase,16,100,1216,76.0,12.2,76,7,CIN,6.25
10,A.J. Brown,17,106,1456,85.6,13.7,59,7,PHI,6.235294117647059
11,Travis Kelce,15,93,984,65.6,10.6,53,5,KC,6.2
12,Puka Nacua,17,105,1486,87.4,14.2,80,6,LAR,6.176470588235294
13,Davante Adams,17,103,1144,67.3,11.1,46,8,LV,6.0588235294117645
14,Adam Thielen,17,103,1014,59.6,9.8,32,4,CAR,6.0588235294117645
15,Alvin Kamara,13,75,466,35.8,6.2,25,1,NO,5.769230769230769
16,DJ Moore,17,96,1364,80.2,14.2,58,8,CHI,5.647058823529412
17,Garrett Wilson,17,95,1042,61.3,11.0,68,3,NYJ,5.588235294117647
18,Chris Olave,16,87,1123,70.2,12.9,51,5,NO,5.4375
19,Nico Collins,15,80,1297,86.5,16.2,75,8,HOU,5.333333333333333
20,Jaylen Waddle,14,72,1014,72.4,14.1,60,4,MIA,5.142857142857143
21,DeVonta Smith,16,81,1066,66.6,13.2,63,7,PHI,5.0625
22,David Njoku,16,81,882,55.1,10.9,43,6,CLE,5.0625
23,Sam LaPorta,17,86,889,52.3,10.3,48,10,DET,5.0588235294117645
24,Rashee Rice,16,79,938,58.6,11.9,67,7,KC,4.9375
25,Cooper Kupp,12,59,737,61.4,12.5,62,5,LAR,4.916666666666667
26,Chris Godwin,17,83,1024,60.2,12.3,47,2,TB,4.882352941176471
27,Zay Flowers,16,77,858,53.6,11.1,75,5,BAL,4.8125
28,Amari Cooper,15,72,1250,83.3,17.4,75,5,CLE,4.8
29,Trey McBride,17,81,825,48.5,10.2,38,3,ARI,4.764705882352941
30,Christian Kirk,12,57,787,65.6,13.8,57,3,JAC,4.75
31,Brandon Aiyuk,16,75,1342,83.9,17.9,76,7,SF,4.6875
32,Mike Evans,17,79,1255,73.8,15.9,75,13,TB,4.647058823529412
33,Tyler Lockett,17,79,894,52.6,11.3,37,5,SEA,4.647058823529412
34,Terry McLaurin,17,79,1002,58.9,12.7,48,4,WAS,4.647058823529412
35,Dalton Kincaid,16,73,673,42.1,9.2,51,2,BUF,4.5625
36,Mark Andrews,10,45,544,54.4,12.1,38,6,BAL,4.5
37,Breece Hall,17,76,591,34.8,7.8,50,4,NYJ,4.470588235294118
38,Calvin Ridley,17,76,1016,59.8,13.4,59,8,TEN,4.470588235294118
39,Jakobi Meyers,16,71,807,50.4,11.4,33,8,LV,4.4375
40,DeAndre Hopkins,17,75,1057,62.2,14.1,61,7,TEN,4.411764705882353
