Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,player_id
Lynn Bowden,15,WR,6-1,199,23,Kentucky,10,4,20,72
Matt Breida,22,RB,5-11,190,25,Georgia Southern,12,1,20,73
Antonio Callaway,16,WR,5-11,200,23,Florida,4,0,20,74
Chandler Cox,27,FB,6-1,242,24,Auburn,8,3,20,75
Julie'n Davenport,70,LOT-TE,6-7,320,25,Bucknell,16,1,20,76
Jesse Davis,77,ROG-ROT-LOT,6-6,323,29,Idaho,16,15,20,77
Raekwon Davis,98,NT-LDE-RDE,6-7,312,23,Alabama,16,12,20,78
Michael Deiter,63,C,6-6,310,24,Wisconsin,16,0,20,79
Sam Eguavoen,49,SLB,6-0,230,27,Texas Tech,16,1,20,80
Clayton Fejedelem,42,SS,6-0,203,27,St. Xavier; Illinois,13,0,20,81
Blake Ferguson,50,LONG,6-3,235,23,Louisiana State,16,0,20,82
Ryan Fitzpatrick,14,QB,6-2,223,38,Harvard,9,7,20,83
Ereck Flowers,75,LOG,6-6,328,26,Miami (Florida),14,14,20,84
Isaiah Ford,84,WR,6-2,189,24,Virginia Tech,10,1,20,85
Kavon Frazier,35,FS,6-0,220,27,Central Michigan,16,0,20,86
Myles Gaskin,37,RB,5-10,193,23,Washington,10,7,20,87
Mike Gesicki,88,TE,6-6,245,25,Penn State,15,9,20,88
Davon Godchaux,56,NT,6-3,31-0,26,Louisiana State,5,5,20,89
Jakeem Grant,19,WR,5-7,170,28,Texas Tech,14,4,20,90
Kamu Grugier-Hill,51,RILB-LILB,6-2,223,26,Eastern Illinois,15,0,20,91
Matt Haack,2,P,6-1,203,26,Arizona State,16,0,20,92
Tae Hayes,30,CB,5-9,188,23,Appalachian State,2,0,20,93
Nate Holley,36,SS,6-0,210,26,Kent State,3,0,20,94
Mack Hollins,86,WR,6-4,221,27,North Carolina,16,2,20,95
Jordan Howard,34,RB,6-0,226,26,Alabama-Birmingham; Indiana,5,3,20,96
Xavien Howard,25,RCB-LCB,6-1,195,27,Baylor,16,16,20,97
Robert Hunt,68,ROT,6-5,322,24,Louisiana-Lafayette,16,11,20,98
Noah Igbinoghene,23,RCB-LCB,5-11,200,21,Auburn,16,2,20,99
Austin Jackson,73,LOT,6-6,310,21,Southern California,13,12,20,100
Benito Jones,95,NT,6-1,329,23,Mississippi,6,0,20,101
Brandon Jones,29,SS-FS,6-0,205,22,Texas,16,4,20,102
Byron Jones,24,LCB-RCB,6-0,204,28,Connecticut,14,14,20,103
Ted Karras,67,C,6-4,305,27,Illinois,16,16,20,104
Marcus Kemp,16,WR,6-4,205,25,Hawaii,1,0,20,105
Solomon Kindley,66,ROG-LOG-TE,6-4,335,23,Georgia,13,13,20,106
Patrick Laird,32,RB,6-0,205,25,California,16,0,20,107
Shaq Lawson,90,WLB,6-3,269,26,Clemson,14,7,20,108
Bobby McCain,28,FS,5-11,193,27,Memphis,16,15,20,109
Kirk Merritt,83,WR,6-0,215,23,Oregon; Texas A&M East Mississippi CC; Arkansas State,1,0,20,110
Calvin Munson,48,LILB,6-0,241,26,San Diego State,16,0,20,111
Chris Myarick,85,TE,6-5,250,25,Temple,3,0,20,112
Nik Needham,40,LCB-SS,6-0,203,24,Texas-El Paso,16,5,20,113
Emmanuel Ogbah,91,RDE,6-4,275,27,Oklahoma State,16,12,20,114
Adam Pankey,78,ROG,6-5,315,26,West Virginia,4,0,20,115
DeVante Parker,11,WR,6-3,214,27,Louisville,14,11,20,116
Jamal Perry,33,RCB-LCB,5-10,190,26,Trinity Valley CC; Iowa State,13,2,20,117
Malcolm Perry,10,WR,5-9,190,23,Navy,9,2,20,118
Tyshun Render,64,DE,6-4,256,23,Middle Tennessee State,1,0,20,119
Elandon Roberts,44,LILB,6-0,236,26,Morgan State; Houston,13,11,20,120
Eric Rowe,21,SS,6-1,205,28,Utah,16,14,20,121
Jason Sanders,7,K,5-11,186,25,New Mexico,16,0,20,122
Adam Shaheen,80,TE,6-6,270,26,Pittsburgh-Johnstown; Ashland,16,5,20,123
Zach Sieler,92,LDE-RDE-DT,6-6,290,25,Ferris State,16,10,20,124
Durham Smythe,81,TE,6-6,248,25,Notre Dame,15,13,20,125
Jason Strowbridge,58,RDE,6-5,285,24,North Carolina,8,0,20,126
Tua Tagovailoa,1,QB,6-1,218,22,Alabama,10,9,20,127
Andrew Van Ginkel,43,WLB-SLB,6-4,236,25,South Dakota; Iowa Western CC; Wisconsin,16,11,20,128
Kyle Van Noy,53,SLB,6-3,245,29,Brigham Young,14,13,20,129
DeAndre Washington,31,RB,5-8,205,27,Texas Tech,2,1,20,130
Christian Wilkins,94,LDE,6-3,315,25,Clemson,14,12,20,131
Preston Williams,18,WR,6-4,210,23,Tennessee; Colorado State,8,7,20,132
David Andrews,60,C,6-3,296,28,Georgia,12,12,22,133
Devin Asiasi,86,TE,6-3,260,23,Michigan; UCLA,9,3,22,134
Jake Bailey,7,P,6-2,202,23,Stanford,16,0,22,135
Ja'Whaun Bentley,51,MLB,6-2,255,24,Purdue,13,13,22,136
Rashod Berry,43,TE,6-4,255,24,Ohio State,3,0,22,137
Justin Bethel,29,SS,6-0,200,30,Presbyterian,16,1,22,138
Tashawn Bower,96,LOLB-LDE-RDE,6-5,250,25,Louisiana State,7,3,22,139
Terrence Brooks,25,FS-SS,5-11,200,29,Florida State,16,2,22,140
Myles Bryant,41,LCB,5-9,185,22,Washington,9,0,22,141
Rex Burkhead,34,RB,5-10,215,30,Nebraska,10,0,22,142
Adam Butler,70,LDT-RDT,6-5,300,26,Vanderbilt,15,4,22,143
Damiere Byrd,10,WR,5-9,180,27,South Carolina,16,14,22,144
Shilique Calhoun,90,LOLB-ROLB,6-4,250,28,Michigan State,10,0,22,145
Joe Cardona,49,LONG,6-3,245,28,Navy,16,0,22,146
Brandon Copeland,52,ROLB,6-3,258,29,Pennsylvania,6,4,22,147
Byron Cowart,99,RDT-LDT,6-4,293,24,Auburn; Maryland,14,14,22,148
Korey Cunningham,74,ROT-LOT,6-6,311,25,Cincinnati,11,0,22,149
Carl Davis,98,NT-LDT-RDT,6-5,320,28,Iowa,3,1,22,150
Cody Davis,22,FS-SS,6-1,205,31,Texas Tech,13,0,22,151
Kyle Dugger,35,SS-FS,6-2,220,24,Lenoir-Rhyne,14,8,22,152
Julian Edelman,11,WR,5-10,199,34,San Mateo JC; Kent State,6,1,22,153
Jermaine Eluemunor,72,ROTLOT-ROG,6-4,336,26,Lackawanna JC; Texas A&M,12,8,22,154
James Ferentz,66,C-LOG-ROG,6-2,290,31,Iowa,7,2,22,155
Nick Folk,6,K,6-1,222,36,Arizona,16,0,22,156
Hjalte Froholdt,64,ROG-C-LOG,6-5,315,24,Arkansas,8,0,22,157
Stephon Gilmore,24,RCB,6-1,190,30,South Carolina,11,11,22,158
Lawrence Guy,93,LDT,6-4,314,30,Arizona State,14,14,22,159
Terez Hall,59,ROLB-MLB,6-2,235,24,Missouri,8,4,22,160
Damien Harris,37,RB,5-11,215,23,Alabama,10,10,22,161
N'Keal Harry,15,WR,6-4,213,23,Arizona State,14,9,22,162
Justin Herron,75,LOT-ROT-TE,6-5,290,25,Wake Forest,12,6,22,163
Brian Hoyer,2,QB,6-2,215,35,Michigan State,1,1,22,164
Ryan Izzo,85,TE,6-5,250,25,Florida State,12,12,22,165
J.C. Jackson,27,LCB-RCB,6-1,198,25,Florida; Riverside CC; Maryland,16,11,22,166
Mike Jackson,45,RCB,6-1,205,23,Miami (Florida),1,0,22,167
Anfernee Jennings,58,LOLB-ROLB,6-3,259,23,Alabama,14,4,22,168
Jakob Johnson,47,FB,6-3,250,26,Tennessee,16,14,22,169
Jonathan Jones,31,NB-RCB,5-10,190,27,Auburn,16,7,22,170
Dalton Keene,44,TE,6-4,251,21,Virginia Tech,6,0,22,171
Isaiah Mack,94,RDT,6-1,299,25,Tennessee-Chattanooga,2,0,22,172
Cassh Maluia,46,MLB,6-0,248,22,Wyoming,9,0,22,173
Marcus Martin,68,C,6-3,321,27,Southern California,1,0,22,174
Shaq Mason,69,ROG,6-1,310,27,Georgia Tech,13,13,22,175
Devin McCourty,32,FS,5-10,195,33,Rutgers,16,16,22,176
Jason McCourty,30,LCB-RCB,6-0,192,33,Rutgers,16,11,22,177
Jakobi Meyers,16,WR,6-2,200,24,North Carolina State,14,9,22,178
Sony Michel,26,RB,5-11,222,25,Georgia,9,6,22,179
Donte Moncrief,14,WR,6-2,219,27,Mississippi,6,0,22,180
Cam Newton,1,QB,6-5,245,31,Florida; Blinn JC; Auburn,15,15,22,181
Gunner Olszewski,80,WR,6-0,190,24,Bemidji State,13,3,22,182
Mike Onwenu,71,ROT-ROG-LOG-TE,6-3,350,23,Michigan,16,16,22,183
Adrian Phillips,32,SS,5-11,210,28,Texas,16,16,22,184
Derek Rivers,95,RDE,6-5,250,26,Youngstown State,8,0,22,185
John Simon,55,RDE-LDE,6-1,256,30,Ohio State,16,16,22,186
Matt Slater,18,WR,6-0,205,35,UCLA,16,0,22,187
Akeem Spence,52,LDT-RDE,6-1,307,29,Illinois,6,0,22,188
Jarrett Stidham,4,QB,6-3,215,24,Baylor; McLennan CC; Auburn,4,0,22,189
J.J. Taylor,42,RB,5-6,185,22,Arizona,6,0,22,190
Jordan Thomas,83,TE,6-5,277,24,East Central CC; Mississippi State,2,0,22,191
Joe Thuney,62,LOG-C,6-5,306,28,North Carolina State,16,16,22,192
Nick Thurman,92,LDT,6-4,293,25,Houston,7,1,22,193
Josh Uche,53,MLB,6-2,250,22,Michigan,9,1,22,194
James White,28,RB,5-10,205,28,Wisconsin,15,0,22,195
Kristian Wilkerson,17,WR,6-1,214,23,Southeast Missouri State,1,0,22,196
Joejuan Williams,33,RCB,6-3,308,23,Vanderbilt,15,0,22,197
Xavier Williams,98,DT,6-3,309,28,Northern Iowa,1,0,22,198
Chase Winovich,50,RDE-LDE-LOLB-ROLB,6-3,255,25,Michigan,16,8,22,199
Deatrich Wise,91,LDE-RDT,6-5,273,26,Arkansas,16,8,22,200
Isaiah Wynn,76,LOT-LOG,6-2,310,24,Georgia,10,10,22,201
Isaiah Zuber,19,WR,6-0,190,23,Kansas State; Mississippi State,5,0,22,202
Josh Adams,36,RB,6-2,225,24,Notre Dame,8,0,25,203
Henry Anderson,96,LDE,6-6,300,29,Stanford,16,8,25,204
Josh Andrews,68,C,6-2,311,29,Oregon State,15,4,25,205
Blessuan Austin,31,RCB,6-1,195,24,Rutgers,11,10,25,206
Kalen Ballage,29,RB,6-3,230,25,Arizona State,3,0,25,207
Corey Ballentine,27,LCB,6-0,204,24,Washburn,6,0,25,208
Tarell Basham,93,LOLB-ROLB,6-4,266,26,Ohio University,16,9,25,209
Mekhi Becton,77,LOT,6-7,369,21,Louisville,13,12,25,210
Le'Veon Bell,26,RB,6-1,225,28,Michigan State,2,2,25,211
Braxton Berrios,10,WR,5-9,190,25,Miami (Florida),16,2,25,212
Daniel Brown,87,TE,6-5,225,28,James Madison,16,1,25,213
Lawrence Cager,86,WR,6-5,220,23,Miami (Florida); Georgia,2,1,25,214
Elijah Campbell,26,CB,6-0,194,25,Iowa Western CC; Northern Illinois; Northern Iowa,3,0,25,215
Blake Cashman,53,RILB,6-2,235,24,Minnesota,4,1,25,216
Sergio Castillo,6,K,5-11,195,30,West Texas A&M,6,0,25,217
Marqui Christian,37,SS,5-11,207,26,Midwestern State,1,0,25,218
Jamison Crowder,82,WR,5-9,181,27,Duke,12,7,25,219
Sam Darnold,14,QB,6-3,225,23,Southern California,12,12,25,220
Ashtyn Davis,32,FS,6-1,200,24,California,10,6,25,221
Noah Dawkins,56,RILB-ROLB,6-1,235,23,The Citadel,5,0,25,222
Pierre Desir,35,LCB,6-1,200,30,Washburn; Lindenwood,9,8,25,223
Chuma Edoga,75,LOT-ROT,6-4,295,23,Southern California,11,4,25,224
Pat Elflein,67,LOG,6-3,303,26,Ohio State,6,6,25,225
George Fant,76,ROT,6-5,309,28,Western Kentucky,14,14,25,226
Matthias Farley,41,FS-S,5-11,209,28,Notre Dame,16,2,25,227
Foley Fatukasi,94,NT,6-4,303,25,Connecticut,15,8,25,228
Sam Ficken,9,K,6-2,186,28,Penn State,12,0,25,229
Sharif Finch,54,RILB-LILB,6-4,250,25,Temple,3,0,25,230
Joe Flacco,5,QB,6-6,240,35,Pittsburgh; Delaware,5,4,25,231
John Franklin-Myers,91,LDE-RDE,6-4,288,24,Stephen F. Austin State,15,2,25,232
Frank Gore,21,RB,5-9,217,37,Miami (Florida),15,14,25,233
Ryan Griffin,84,TE,6-6,259,30,Connecticut,15,6,25,234
Javelin Guidry,40,RCB-LCB,5-9,193,22,Utah,12,2,25,235
Bryce Hager,58,LILB-RILB,6-1,236,28,Baylor,10,2,25,236
Nate Hairston,25,RCB,6-0,195,26,Temple,2,0,25,237
Bryce Hall,37,LCB-RCB,6-1,200,23,Virginia,8,7,25,238
Saquan Hampton,29,S,6-1,209,25,Rutgers,1,0,25,239
J.T. Hassell,49,SS-FS,5-11,200,25,South Dakota State; Florida Tech,3,0,25,240
Thomas Hennessy,42,LONG,6-2,246,26,Duke,16,0,25,241
Chris Herndon,89,TE,6-4,253,24,Miami (Florida),16,13,25,242
Neville Hewitt,46,LILB-RILB,6-2,234,27,Georgia Military JC; Marshall,16,16,25,243
Chris Hogan,15,WR,6-1,215,32,Penn State; Monmouth (New Jersey),5,4,25,244
Bryce Huff,47,ROLB-RDE,6-3,255,22,Memphis,14,0,25,245
Bennett Jackson,39,FS,6-0,192,29,Notre Dame,4,0,25,246
Lamar Jackson,38,RCB,6-3,215,22,Nebraska,13,6,25,247
Jordan Jenkins,48,ROLB,6-3,259,26,Georgia,12,12,25,248
Ty Johnson,25,RB,5-10,212,23,Maryland,11,1,25,249
Harvey Langi,44,LILB-RILB,6-2,252,28,Utah; Brigham Young,14,6,25,250
Alex Lewis,71,LOG,6-6,310,28,Colorado; Nebraska,9,9,25,251
Frankie Luvu,50,LOLB-ROLB,6-3,236,24,Washington State,13,3,25,252
Josh Malone,83,WR,6-3,207,24,Tennessee,4,0,25,253
Braden Mann,7,P,5-11,195,23,Texas A&M,16,0,25,254
Arthur Maulet,23,FS-LCB,5-10,190,27,Copiah-Lincoln CC; Memphis,11,5,25,255
Marcus Maye,20,SS,6-0,207,27,Florida,16,16,25,256
Conor McDermott,69,ROT-LOT-LOG-ROG,6-8,305,28,UCLA,15,1,25,257
Bradley McDougald,30,FS,6-1,211,30,Kansas,7,7,25,258
Connor McGovern,60,C,6-4,306,27,Missouri,16,16,25,259
Chase McLaughlin,3,K,6-1,175,24,Illinois,1,0,25,260
Steve McLendon,99,NT,6-4,309,34,Troy,6,6,25,261
Denzel Mims,11,WR,6-3,215,23,Baylor,9,8,25,262
Alec Ogletree,52,LILB,6-2,245,29,Georgia,2,1,25,263
Patrick Onwuasor,51,LB,6-0,224,28,Arizona; Portland State,1,0,25,264
La'Mical Perine,22,RB,5-11,218,22,Florida,10,0,25,265
Breshad Perriman,19,WR,6-2,214,27,Central Florida,12,12,25,266
Kyle Phillips,98,LDE,6-4,277,23,Tennessee,7,3,25,267
Brian Poole,34,RCB-LCB,5-10,211,28,Florida,9,7,25,268
Jaleel Scott,18,WR,6-5,210,25,Ellsworth CC; New Mexico State,1,1,25,269
Brady Sheldon,55,RILB,6-5,230,27,Ferris State,2,0,25,270
Nathan Shepherd,97,RDE-NT,6-5,300,27,Simon Fraser; Fort Hays State,14,3,25,271
Tanzel Smart,79,DE,6-1,293,26,Tulane,3,0,25,272
Jeff Smith,16,WR,6-1,195,23,Boston College,12,4,25,273
Vyncint Smith,17,WR,6-3,202,24,Limestone,7,0,25,274
Ross Travis,43,TE,6-7,235,27,Penn State,1,0,25,275
Greg Van Roten,62,ROG,6-3,304,30,Pennsylvania,13,13,25,276
Trevon Wesco,85,TE,6-4,274,25,Lackawanna JC; West Virginia,12,4,25,277
Quinnen Williams,95,RDE,6-4,295,23,Alabama,13,13,25,278
Avery Williamson,54,RILB-LILB,6-1,246,28,Kentucky,7,6,25,279
Jordan Willis,53,LOLB,6-4,265,25,Kansas State,2,0,25,280
Quincy Wilson,27,LCB-RCB,6-1,208,24,Florida,3,1,25,281
Jabari Zuniga,92,LDE,6-4,246,23,Florida,8,0,25,282
Ola Adeniyi,92,LOLB,6-1,248,23,Toledo,15,1,27,283
Marcus Allen,27,LILB-RILB,6-2,215,24,Penn State,14,2,27,284
Tyson Alualu,94,NT,6-3,304,33,California,15,10,27,285
Zach Banner,72,ROT,6-8,360,27,Southern California,1,1,27,286
Jordan Berry,4,P,6-5,195,29,Eastern Kentucky,11,0,27,287
Chris Boswell,9,K,6-2,185,29,Rice,13,0,27,288
Antoine Brooks,25,FS,5-11,215,23,Maryland,4,0,27,289
Isaiah Buggs,96,NT,6-5,286,24,Mississippi Gulf Coast CC; Alabama,10,1,27,290
Devin Bush,55,LILB,5-11,233,22,Michigan,5,5,27,291
Deon Cain,17,WR,6-2,202,25,Clemson,2,0,27,292
Kameron Canaday,57,LONG,6-4,245,27,Portland State,16,0,27,293
Chase Claypool,11,WR,6-4,229,22,Notre Dame,16,6,27,294
Dustin Colquitt,4,P,6-3,210,38,Tennessee,5,0,27,295
James Conner,30,RB,6-1,233,25,Pittsburgh,13,11,27,296
Jordan Dangerfield,37,SS,5-11,198,30,Hofstra; Towson,15,0,27,297
Carlos Davis,73,DT,6-2,320,24,Nebraska,7,0,27,298
Sean Davis,21,LCB-FS-SS,6-1,202,27,Maryland,16,1,27,299
David DeCastro,66,ROG,6-5,316,30,Stanford,13,13,27,300
Joshua Dobbs,5,QB,6-3,216,25,Tennessee,1,0,27,301
Kevin Dotson,69,ROG-LOG,6-4,321,24,Louisiana-Lafayette,13,4,27,302
Bud Dupree,48,ROLB,6-4,269,27,Kentucky,11,11,27,303
Eric Ebron,85,TE,6-4,254,27,North Carolina,15,9,27,304
Terrell Edmunds,34,SS,6-1,217,23,Virginia Tech,15,13,27,305
Trey Edmunds,33,RB,6-2,223,26,Virginia Tech; Maryland,4,0,27,306
Jay Elliott,45,ROLB,6-3,255,29,Toledo,9,0,27,307
Matt Feiler,71,LOG,6-6,330,28,Bloomsburg,13,13,27,308
Minkah Fitzpatrick,39,FS,6-1,202,24,Alabama,16,16,27,309
Zach Gentry,81,TE,6-8,262,24,Michigan,2,1,27,310
Ulysees Gilbert,54,LILB-RILB,6-1,230,23,Akron,4,0,27,311
Derwin Gray,77,LOG,6-5,330,25,Maryland,5,0,27,312
Joe Haden,23,LCB,5-11,193,31,Florida,14,14,27,313
J.C. Hassenauer,60,C-LOG,6-2,295,25,Alabama,15,4,27,314
Jerald Hawkins,65,ROT,6-6,305,27,Louisiana State,14,0,27,315
Cam Heyward,97,DT,6-5,293,31,Ohio State,15,15,27,316
Alex Highsmith,56,ROLB,6-4,242,23,North Carolina-Charlotte,16,5,27,317
Mike Hilton,28,NB-RCB-SS-LCB,5-9,184,26,Mississippi,12,6,27,318
Diontae Johnson,18,WR,5-11,181,24,Toledo,15,13,27,319
Justin Layne,31,RCB,6-3,185,22,Michigan State,16,0,27,320
Cassius Marsh,49,DE,6-4,248,28,UCLA,1,0,27,321
Ray-Ray McCloud,14,WR,5-9,190,24,Clemson,16,2,27,322
Vance McDonald,89,TE,6-4,267,30,Rice,14,12,27,323
Anthony McFarland,26,RB,5-9,198,22,Maryland,11,0,27,324
Henry Mondeaux,99,DE,6-4,280,25,Oregon,11,0,27,325
Steven Nelson,22,RCB,5-11,194,27,Sequoias JC; Oregon State,15,15,27,326
Chuks Okorafor,76,ROT-LOT,6-6,320,23,Western Michigan,16,15,27,327
James Pierre,42,LCB,6-2,185,24,Florida Atlantic,16,0,27,328
Maurkice Pouncey,53,C,6-4,304,31,Florida,13,13,27,329
Kevin Rader,87,TE,6-5,250,25,Youngstown State,1,1,27,330
Ben Roethlisberger,7,QB,6-5,241,38,Miami (Ohio),15,15,27,331
Mason Rudolph,2,QB,6-5,235,25,Oklahoma State,5,1,27,332
Jaylen Samuels,38,RB,6-0,225,24,North Carolina State,14,1,27,333
Tegray Scales,40,LILB,6-0,227,24,Indiana,4,0,27,334
Wendell Smallwood,29,RB,5-10,208,26,West Virginia,1,0,27,335
JuJu Smith-Schuster,19,WR,6-1,215,24,Southern California,16,14,27,336
Benny Snell,24,RB,5-11,223,22,Kentucky,16,3,27,337
Robert Spillane,41,LILB-RILB,6-1,229,25,Western Michigan,12,7,27,338
Cameron Sutton,20,SS-NB-LCB,5-11,188,25,Tennessee,16,6,27,339
Stephon Tuitt,91,DE,6-6,303,27,Notre Dame,15,15,27,340
Alejandro Villanueva,78,LOT,6-9,320,32,Army,16,16,27,341
James Washington,13,WR,6-0,205,24,Oklahoma State,16,7,27,342
Derek Watt,44,FB,6-2,234,28,Wisconsin,12,0,27,343
T.J. Watt,90,LOLB,6-4,252,26,Wisconsin,15,15,27,344
Vince Williams,98,RILB,6-1,239,31,Florida State,14,14,27,345
Avery Williamson,51,LILB-RILB,6-1,246,28,Kentucky,8,4,27,346
Stefen Wisniewski,61,ROG,6-3,305,31,Penn State,1,1,27,347
Chris Wormley,95,DT-DE,6-5,300,27,Michigan,13,1,27,348
Matthew Wright,16,K,6-0,179,24,Central Florida,3,0,27,349
Aaron Adeoye,51,OLB,6-7,236,27,Ball State; Logan CC; Western Kentucky; Southeast Missouri State,1,0,3,350
Otaro Alaka,50,MLB,6-3,240,24,Texas A&M,5,0,3,351
Mark Andrews,89,TE,6-5,256,24,Oklahoma,14,2,3,352
Anthony Averett,23,RCB-LCB,5-11,178,26,Alabama,10,4,3,353
Chris Board,49,WLB-MLB,6-1,230,25,North Dakota State,16,2,3,354
Terrell Bonds,38,RCB,5-9,178,24,Tennessee State,4,1,3,355
Tyus Bowser,54,SLB,6-3,240,25,Houston,16,2,3,356
Miles Boykin,80,WR,6-4,228,24,Notre Dame,16,13,3,357
Nick Boyle,86,TE,6-4,265,27,Delaware,9,9,3,358
Bradley Bozeman,77,LOG,6-5,314,26,Alabama,16,16,3,359
Ben Bredeson,67,LOG-ROG,6-5,325,22,Michigan,10,0,3,360
Nate Brooks,17,CB,6-0,192,24,North Texas,1,0,3,361
