Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,Round,Overall,player_id
Lawrence Guy,93.0,RDE-LDT,6-4,314,31.0,Arizona State,17.0,16.0,22,,,89
Damien Harris,37.0,RB,5-11,215,24.0,Alabama,15.0,15.0,22,,,90
N'Keal Harry,1.0,WR,6-4,213,24.0,Arizona State,12.0,4.0,22,,,91
Hunter Henry,85.0,TE,6-5,250,27.0,Arkansas,17.0,10.0,22,,,92
Justin Herron,75.0,LOT-ROT,6-5,290,26.0,Wake Forest,16.0,4.0,22,,,93
Dont'a Hightower,54.0,MLB,6-3,265,31.0,Alabama,15.0,15.0,22,,,94
Brian Hoyer,5.0,QB,6-2,215,36.0,Michigan State,5.0,0.0,22,,,95
J.C. Jackson,27.0,LCB,6-1,198,26.0,Florida; Riverside CC; Maryland,17.0,17.0,22,,,96
Jakob Johnson,47.0,RB,6-3,250,27.0,Tennessee,17.0,6.0,22,,,97
Jonathan Jones,31.0,LCB,5-10,190,28.0,Auburn,6.0,1.0,22,,,98
Mac Jones,10.0,QB,6-3,214,23.0,Alabama,17.0,17.0,22,,,99
Matt Judon,9.0,WLB,6-3,266,29.0,Grand Valley State,17.0,16.0,22,,,100
Ted Karras,67.0,LOG-C,6-4,305,28.0,Illinois,17.0,13.0,22,,,101
Brandon King,36.0,WLB,6-2,220,28.0,Highland CC; Auburn,16.0,0.0,22,,,102
Matt LaCosse,83.0,TE,6-6,253,29.0,Illinois,1.0,0.0,22,,,103
Harvey Langi,52.0,SLB,6-2,252,29.0,Utah; Brigham Young,7.0,1.0,22,,,104
Shaq Mason,69.0,ROG,6-1,310,28.0,Georgia Tech,15.0,15.0,22,,,105
Devin McCourty,32.0,FS,5-10,195,34.0,Rutgers,17.0,17.0,22,,,106
Jakobi Meyers,16.0,WR,6-2,200,25.0,North Carolina State,17.0,16.0,22,,,107
Jalen Mills,2.0,RCB,6-0,191,27.0,Louisiana State,16.0,16.0,22,,,108
Calvin Munson,43.0,SLB,6-0,241,27.0,San Diego State,6.0,0.0,22,,,109
Gunner Olszewski,80.0,WR,6-0,190,25.0,Bemidji State,16.0,0.0,22,,,110
Mike Onwenu,71.0,LOG-ROT-TE,6-3,350,24.0,Michigan,16.0,8.0,22,,,111
Adrian Phillips,21.0,SS,5-11,210,29.0,Texas,17.0,13.0,22,,,112
D'Angelo Ross,39.0,CB,5-9,190,25.0,Fullerton JC; New Mexico,3.0,1.0,22,,,113
William Sherman,68.0,OT,6-4,310,22.0,Colorado,1.0,0.0,22,,,114
Matt Slater,18.0,WR,6-0,205,36.0,UCLA,17.0,0.0,22,,,115
Jonnu Smith,81.0,TE,6-3,248,26.0,Florida International,16.0,11.0,22,,,116
Rhamondre Stevenson,38.0,RB,6-0,247,23.0,Cerritos JC; Oklahoma,12.0,2.0,22,,,117
Jahlani Tavai,48.0,MLB,6-4,245,25.0,Hawaii,13.0,0.0,22,,,118
J.J. Taylor,42.0,RB,5-6,185,23.0,Arizona,5.0,0.0,22,,,119
Josh Uche,55.0,SLB,6-2,250,23.0,Michigan,12.0,0.0,22,,,120
Kyle Van Noy,53.0,SLB,6-3,245,30.0,Brigham Young,16.0,8.0,22,,,121
Shaun Wade,26.0,LCB,6-1,195,23.0,Ohio State,3.0,0.0,22,,,122
James White,28.0,RB,5-10,205,29.0,Wisconsin,3.0,0.0,22,,,123
Kristian Wilkerson,17.0,WR,6-1,214,24.0,Southeast Missouri State,3.0,1.0,22,,,124
Joejuan Williams,33.0,RCB,6-3,308,24.0,Vanderbilt,12.0,1.0,22,,,125
Chase Winovich,50.0,RDE-LDE,6-3,255,26.0,Michigan,13.0,0.0,22,,,126
Deatrich Wise,91.0,LDE-RDE,6-5,273,27.0,Arkansas,16.0,9.0,22,,,127
Isaiah Wynn,76.0,LOT,6-2,310,25.0,Georgia,16.0,15.0,22,,,128
Salvon Ahmed,26.0,RB,5-11,196,23.0,Washington,13.0,0.0,20,,,129
Jerome Baker,55.0,LLB,6-2,225,25.0,Ohio State,16.0,16.0,20,,,130
Vince Biegel,47.0,LLB,6-3,246,28.0,Wisconsin,5.0,0.0,20,,,131
Jacoby Brissett,14.0,QB,6-4,235,29.0,Florida; North Carolina State,11.0,5.0,20,,,132
Malcolm Brown,34.0,RB,5-11,224,28.0,Texas,7.0,3.0,20,,,133
Adam Butler,70.0,LDE-NT,6-5,300,27.0,Vanderbilt,17.0,1.0,20,,,134
Elijah Campbell,22.0,NB,6-0,194,26.0,Iowa Western CC; Northern Illinois; Northern Iowa,7.0,0.0,20,,,135
Cethan Carter,82.0,TE,6-3,241,28.0,Nebraska,16.0,1.0,20,,,136
Justin Coleman,27.0,NB,5-11,188,28.0,Tennessee,16.0,4.0,20,,,137
Javaris Davis,38.0,CB,5-10,180,24.0,Auburn,1.0,0.0,20,,,138
Jesse Davis,77.0,ROT-LOG,6-6,323,30.0,Idaho,17.0,16.0,20,,,139
Raekwon Davis,98.0,NT,6-7,312,24.0,Alabama,14.0,14.0,20,,,140
Michael Deiter,63.0,C,6-6,310,25.0,Wisconsin,8.0,8.0,20,,,141
Sam Eguavoen,49.0,MLB,6-0,230,28.0,Texas Tech,17.0,0.0,20,,,142
Liam Eichenberg,74.0,LOT-ROT,6-6,302,23.0,Notre Dame,17.0,16.0,20,,,143
Clayton Fejedelem,42.0,FS-SS,6-0,203,28.0,St. Xavier; Illinois,17.0,0.0,20,,,144
Blake Ferguson,44.0,LONG,6-3,235,24.0,Louisiana State,17.0,0.0,20,,,145
Isaiah Ford,87.0,WR,6-2,189,25.0,Virginia Tech,13.0,2.0,20,,,146
Will Fuller,3.0,WR,6-0,183,27.0,Notre Dame,2.0,0.0,20,,,147
Myles Gaskin,37.0,RB,5-10,193,24.0,Washington,17.0,10.0,20,,,148
Mike Gesicki,88.0,TE,6-6,245,26.0,Penn State,17.0,9.0,20,,,149
Jakeem Grant,19.0,WR,5-7,170,29.0,Texas Tech,4.0,0.0,20,,,150
Jevon Holland,8.0,FS-SS,6-1,196,21.0,Oregon,16.0,13.0,20,,,151
Mack Hollins,86.0,WR,6-4,221,28.0,North Carolina,17.0,3.0,20,,,152
Xavien Howard,25.0,RCB,6-1,195,28.0,Baylor,16.0,16.0,20,,,153
Robert Hunt,68.0,ROG,6-5,322,25.0,Louisiana-Lafayette,17.0,17.0,20,,,154
Noah Igbinoghene,9.0,LCB,5-11,200,22.0,Auburn,7.0,1.0,20,,,155
Austin Jackson,73.0,LOG-LOT,6-6,310,22.0,Southern California,17.0,16.0,20,,,156
John Jenkins,90.0,NT,6-4,343,32.0,Gulf Coast JC; Georgia,7.0,2.0,20,,,157
Duke Johnson,28.0,RB,5-9,210,28.0,Miami (Florida),5.0,4.0,20,,,158
Brandon Jones,29.0,SS,6-0,205,23.0,Texas,15.0,13.0,20,,,159
Byron Jones,24.0,LCB,6-0,204,29.0,Connecticut,16.0,16.0,20,,,160
Robert Jones,65.0,ROT-ROG-LOG,6-5,330,22.0,Highland CC; Middle Tennessee State,8.0,1.0,20,,,161
Solomon Kindley,66.0,LOG,6-4,335,24.0,Georgia,16.0,2.0,20,,,162
Patrick Laird,32.0,RB,6-0,205,26.0,California,6.0,0.0,20,,,163
Tommylee Lewis,85.0,WR,5-7,168,29.0,Northern Illinois,2.0,0.0,20,,,164
Phillip Lindsay,31.0,RB,5-8,190,27.0,Colorado,4.0,0.0,20,,,165
Hunter Long,84.0,TE,6-5,253,23.0,Boston College,7.0,2.0,20,,,166
Greg Mancz,62.0,C,6-4,303,29.0,Toledo,5.0,4.0,20,,,167
Jason McCourty,30.0,FS,6-0,192,34.0,Rutgers,6.0,4.0,20,,,168
Kirk Merritt,83.0,WR,6-0,215,24.0,Oregon; Texas A&M East Mississippi CC; Arkansas State,2.0,0.0,20,,,169
Chris Milton,35.0,CB,5-11,194,29.0,Georgia Tech,1.0,0.0,20,,,170
Calvin Munson,50.0,MLB,6-0,241,27.0,San Diego State,4.0,0.0,20,,,171
Nik Needham,40.0,RCB-SS-FS,6-0,203,25.0,Texas-El Paso,17.0,5.0,20,,,172
Emmanuel Ogbah,91.0,LDE,6-4,275,28.0,Oklahoma State,17.0,11.0,20,,,173
Michael Palardy,5.0,P,5-11,197,29.0,Tennessee,17.0,0.0,20,,,174
Adam Pankey,78.0,OT,6-5,315,27.0,West Virginia,1.0,0.0,20,,,175
DeVante Parker,11.0,WR,6-3,214,28.0,Louisville,10.0,8.0,20,,,176
Will Parks,36.0,FS,6-1,194,27.0,Arizona,1.0,0.0,20,,,177
Jamal Perry,33.0,LCB,5-10,190,27.0,Trinity Valley CC; Iowa State,4.0,0.0,20,,,178
Jaelan Phillips,15.0,RLB,6-5,266,22.0,UCLA; Miami (Florida),17.0,5.0,20,,,179
Sheldrick Redwine,20.0,SS,6-1,205,25.0,Miami (Florida),4.0,0.0,20,,,180
Austin Reiter,61.0,C,6-2,300,30.0,South Florida,6.0,5.0,20,,,181
Duke Riley,45.0,LLB,6-1,230,27.0,Louisiana State,16.0,3.0,20,,,182
Elandon Roberts,52.0,MLB,6-0,236,27.0,Morgan State; Houston,16.0,14.0,20,,,183
Eric Rowe,21.0,SS,6-1,205,29.0,Utah,17.0,4.0,20,,,184
Jason Sanders,7.0,K,5-11,186,26.0,New Mexico,17.0,0.0,20,,,185
Brennan Scarlett,57.0,LB,6-4,261,28.0,California; Stanford,12.0,4.0,20,,,186
Jordan Scarlett,22.0,RB,5-11,210,25.0,Florida,1.0,0.0,20,,,187
Adam Shaheen,80.0,TE,6-6,270,27.0,Pittsburgh-Johnstown; Ashland,12.0,7.0,20,,,188
Jabaal Sheard,97.0,DE,6-3,260,32.0,Pittsburgh,1.0,0.0,20,,,189
Zach Sieler,92.0,DT-LDE-RDE,6-6,290,26.0,Ferris State,17.0,9.0,20,,,190
Durham Smythe,81.0,TE,6-6,248,26.0,Notre Dame,17.0,14.0,20,,,191
Tua Tagovailoa,1.0,QB,6-1,218,23.0,Alabama,14.0,14.0,20,,,192
Cameron Tom,64.0,C,6-4,300,26.0,Southern Mississippi,1.0,0.0,20,,,193
Andrew Van Ginkel,43.0,RLB,6-4,236,26.0,South Dakota; Iowa Western CC; Wisconsin,17.0,14.0,20,,,194
Jaylen Waddle,17.0,WR,5-10,182,23.0,Alabama,16.0,16.0,20,,,195
Christian Wilkins,94.0,RDE,6-3,315,26.0,Clemson,17.0,17.0,20,,,196
Preston Williams,18.0,WR,6-4,210,24.0,Tennessee; Colorado State,8.0,3.0,20,,,197
Trill Williams,6.0,CB,6-2,198,22.0,Syracuse,1.0,0.0,20,,,198
Albert Wilson,2.0,WR,5-9,199,29.0,Georgia State,14.0,5.0,20,,,199
Josh Adams,36.0,RB,6-2,225,25.0,Notre Dame,1.0,0.0,25,,,200
Freedom Akinmoladun,61.0,RDT,6-3,186,25.0,Nebraska,1.0,0.0,25,,,201
Matt Ammendola,6.0,K-P,5-9,195,25.0,Oklahoma State,11.0,0.0,25,,,202
Nick Bawden,48.0,FB,6-3,245,25.0,San Diego State,9.0,1.0,25,,,203
Mekhi Becton,77.0,LOT,6-7,369,22.0,Louisville,1.0,1.0,25,,,204
Braxton Berrios,10.0,WR,5-9,190,26.0,Miami (Florida),16.0,1.0,25,,,205
Tarik Black,3.0,WR,6-3,217,23.0,Michigan; Texas,1.0,0.0,25,,,206
Ronald Blair,54.0,RDE,6-4,270,28.0,Appalachian State,9.0,3.0,25,,,207
Daniel Brown,87.0,TE,6-5,225,29.0,James Madison,12.0,0.0,25,,,208
Michael Carter,32.0,RB,5-9,199,22.0,North Carolina,14.0,11.0,25,,,209
Michael Carter,30.0,NB,5-11,190,22.0,Duke,15.0,10.0,25,,,210
Blake Cashman,53.0,MLB-WLB-SLB,6-2,235,25.0,Minnesota,3.0,1.0,25,,,211
Adrian Colbert,33.0,SS,6-2,205,28.0,Texas; Miami (Florida),4.0,3.0,25,,,212
Keelan Cole,88.0,WR,6-1,194,28.0,Kentucky Wesleyan,15.0,11.0,25,,,213
Tevin Coleman,23.0,RB,6-0,210,28.0,Indiana,11.0,5.0,25,,,214
Jamison Crowder,82.0,WR,5-9,181,28.0,Duke,12.0,4.0,25,,,215
Ashtyn Davis,21.0,SS,6-1,200,25.0,California,13.0,10.0,25,,,216
Corey Davis,84.0,WR,6-3,209,26.0,Western Michigan,11.0,10.0,25,,,217
Jarrad Davis,52.0,WLB,6-1,238,27.0,Florida,9.0,4.0,25,,,218
Noah Dawkins,46.0,SLB,6-1,235,24.0,The Citadel,2.0,0.0,25,,,219
Isaiah Dunn,27.0,RCB,6-0,193,22.0,Oregon State,12.0,1.0,25,,,220
Laurent Duvernay-Tardif,72.0,ROG-LOG,6-5,321,30.0,McGill,8.0,7.0,25,,,221
Brandin Echols,26.0,RCB,5-11,178,24.0,Northwest Mississippi CC; Kentucky,14.0,14.0,25,,,222
Chuma Edoga,70.0,ROT-LOT,6-4,295,24.0,Southern California,4.0,0.0,25,,,223
George Fant,76.0,LOT-ROT,6-5,309,29.0,Western Kentucky,15.0,15.0,25,,,224
Foley Fatukasi,94.0,RDT-LDT,6-4,303,26.0,Connecticut,15.0,15.0,25,,,225
Dan Feeney,67.0,C-LOG-ROG-TE,6-4,310,27.0,Indiana,16.0,4.0,25,,,226
Joe Flacco,19.0,QB,6-6,240,36.0,Pittsburgh; Delaware,2.0,1.0,25,,,227
John Franklin-Myers,91.0,LDE,6-4,288,25.0,Stephen F. Austin State,16.0,16.0,25,,,228
B.J. Goodson,48.0,LB,6-1,242,28.0,Clemson,1.0,0.0,25,,,229
Ryan Griffin,86.0,TE,6-6,259,31.0,Connecticut,14.0,13.0,25,,,230
Javelin Guidry,40.0,RCB-NB,5-9,193,23.0,Utah,17.0,3.0,25,,,231
Bryce Hall,37.0,LCB,6-1,200,24.0,Virginia,17.0,17.0,25,,,232
Justin Hardee,34.0,LCB,6-1,200,27.0,Illinois,16.0,0.0,25,,,233
Thomas Hennessy,42.0,LONG,6-2,246,27.0,Duke,17.0,0.0,25,,,234
Bryce Huff,47.0,RDE,6-3,255,23.0,Memphis,9.0,7.0,25,,,235
Lamar Jackson,38.0,RCB,6-3,215,23.0,Nebraska,1.0,0.0,25,,,236
Josh Johnson,9.0,QB,6-3,207,35.0,San Diego,3.0,0.0,25,,,237
Ty Johnson,25.0,RB,5-10,212,24.0,Maryland,16.0,3.0,25,,,238
Lamarcus Joyner,29.0,SS,5-8,183,31.0,Florida State,1.0,1.0,25,,,239
Alex Kessman,3.0,K,6-3,190,23.0,Pittsburgh,1.0,0.0,25,,,240
Tyler Kroft,81.0,TE,6-6,248,29.0,Rutgers,9.0,6.0,25,,,241
Shaq Lawson,50.0,RDE-LDE,6-3,269,27.0,Clemson,14.0,7.0,25,,,242
Braden Mann,7.0,P,5-11,195,24.0,Texas A&M,10.0,0.0,25,,,243
Jonathan Marshall,96.0,LDT,6-3,317,23.0,Arkansas,5.0,0.0,25,,,244
Marcus Maye,20.0,FS,6-0,207,28.0,Florida,6.0,0.0,25,,,245
Conor McDermott,69.0,LOT-ROT-TE,6-8,305,29.0,UCLA,6.0,3.0,25,,,246
Connor McGovern,60.0,C,6-4,306,28.0,Missouri,15.0,15.0,25,,,247
Denzel Mims,11.0,WR,6-3,215,24.0,Baylor,11.0,3.0,25,,,248
D.J. Montgomery,14.0,WR,6-1,201,25.0,Holmes CC; Austin Peay State,3.0,0.0,25,,,249
Elijah Moore,8.0,WR,5-9,185,21.0,Mississippi,11.0,6.0,25,,,250
Thomas Morstead,4.0,P,6-4,230,35.0,Southern Methodist,8.0,0.0,25,,,251
Morgan Moses,78.0,ROT,6-6,331,30.0,VIrginia,17.0,16.0,25,,,252
C.J. Mosley,57.0,MLB,6-2,242,29.0,Alabama,16.0,16.0,25,,,253
Kai Nacua,1.0,FS,6-0,205,26.0,Brigham Young,3.0,0.0,25,,,254
Hamsah Nasirildeen,45.0,WLB,6-3,215,22.0,Florida State,12.0,2.0,25,,,255
Sharrod Neasman,35.0,SS-FS,6-0,198,30.0,Florida Atlantic,11.0,1.0,25,,,256
Will Parks,39.0,SS,6-1,194,27.0,Arizona,3.0,2.0,25,,,257
La'Mical Perine,22.0,RB,5-11,218,23.0,Florida,4.0,0.0,25,,,258
Del'Shawn Phillips,43.0,SLB,6-2,230,25.0,Garden City CC; Illinois,17.0,1.0,25,,,259
Kyle Phillips,93.0,LDE,6-4,277,24.0,Tennessee,7.0,1.0,25,,,260
Eddy Pineiro,15.0,K,6-0,185,25.0,ASA JC; Florida,5.0,0.0,25,,,261
Jason Pinnock,41.0,FS-SS-LCB-RCB,6-1,205,22.0,Pittsburgh,12.0,2.0,25,,,262
Sheldon Rankins,98.0,RDT-LDT,6-2,305,27.0,Louisville,16.0,3.0,25,,,263
Hamilcar Rashed,55.0,RDT,6-3,256,23.0,Oregon State,1.0,0.0,25,,,264
Sheldrick Redwine,31.0,SS,6-1,205,25.0,Miami (Florida),2.0,0.0,25,,,265
LaRoy Reynolds,49.0,SLB,6-2,242,31.0,Virginia,1.0,0.0,25,,,266
Elijah Riley,33.0,FS,6-0,205,23.0,Army,7.0,7.0,25,,,267
Nathan Shepherd,97.0,LDT-RDT,6-5,300,28.0,Simon Fraser; Fort Hays State,17.0,1.0,25,,,268
Jamien Sherwood,44.0,WLB-SLB,6-2,220,21.0,Auburn,5.0,4.0,25,,,269
Jeff Smith,16.0,WR,6-1,195,24.0,Boston College,12.0,3.0,25,,,270
Vyncint Smith,17.0,WR,6-3,202,25.0,Limestone,2.0,0.0,25,,,271
Greg Van Roten,62.0,ROG-LOG-C,6-3,304,31.0,Pennsylvania,17.0,10.0,25,,,272
Alijah Vera-Tucker,75.0,LOG,6-4,315,22.0,Southern California,16.0,16.0,25,,,273
Austin Walter,36.0,RB,5-8,202,25.0,Rice,4.0,0.0,25,,,274
Tim Ward,53.0,RDE,6-6,255,24.0,Old Dominion,12.0,0.0,25,,,275
Trevon Wesco,85.0,TE-FB,6-4,274,26.0,Lackawanna JC; West Virginia,12.0,7.0,25,,,276
Javin White,9.0,LB,6-3,205,24.0,Nevada-Las Vegas,1.0,0.0,25,,,277
Mike White,5.0,QB,6-5,220,26.0,South Florida; Western Kentucky,4.0,3.0,25,,,278
Rachad Wildgoose,29.0,RCB-LCB,5-10,191,21.0,Wisconsin,5.0,0.0,25,,,279
Isaiah Williams,71.0,LOG-ROG-ROT,6-3,306,28.0,Akron,5.0,0.0,25,,,280
Quincy Williams,56.0,SLB,5-10,239,25.0,Murray State,16.0,13.0,25,,,281
Quinnen Williams,95.0,LDT,6-4,295,24.0,Alabama,15.0,15.0,25,,,282
Jarrod Wilson,39.0,FS,6-2,210,27.0,Michigan,6.0,3.0,25,,,283
Zach Wilson,2.0,QB,6-3,210,22.0,Brigham Young,13.0,13.0,25,,,284
Kenny Yeboah,83.0,TE,6-4,240,23.0,Temple; Mississippi,9.0,0.0,25,,,285
Jabari Zuniga,92.0,LDE,6-4,246,24.0,Florida,3.0,0.0,25,,,286
Hakeem Adeniji,77.0,ROG,6-5,300,24.0,Kansas,9.0,9.0,7,,,287
Brandon Allen,8.0,QB,6-2,209,29.0,Arkansas,6.0,1.0,7,,,288
Ricardo Allen,37.0,FS-SS,5-9,186,30.0,Purdue,14.0,1.0,7,,,289
Eli Apple,20.0,LCB,6-1,201,26.0,Ohio State,16.0,16.0,7,,,290
Chidobe Awuzie,22.0,RCB,6-0,202,26.0,Colorado,14.0,14.0,7,,,291
Joe Bachie,49.0,WLB-SLB,6-2,231,23.0,Michigan State,9.0,2.0,7,,,292
Markus Bailey,51.0,WLB-SLB,6-1,240,24.0,Purdue,17.0,3.0,7,,,293
Jessie Bates,30.0,FS,6-1,200,24.0,Wake Forest,16.0,16.0,7,,,294
Vonn Bell,24.0,SS,5-11,205,27.0,Ohio State,16.0,16.0,7,,,295
Tyler Boyd,83.0,WR,6-1,197,27.0,Pittsburgh,16.0,10.0,7,,,296
Joe Burrow,9.0,QB,6-4,216,25.0,Ohio State; Louisiana State,16.0,16.0,7,,,297
Austin Calitro,48.0,WLB,6-0,240,27.0,Villanova,5.0,0.0,7,,,298
Jackson Carman,79.0,ROG-LOG,6-5,335,21.0,Clemson,17.0,6.0,7,,,299
Ja'Marr Chase,1.0,WR,6-1,200,21.0,Louisiana State,17.0,17.0,7,,,300
Mike Daniels,76.0,DT,6-0,307,32.0,Iowa,2.0,1.0,7,,,301
Jalen Davis,35.0,NB,5-10,185,25.0,Utah State,15.0,0.0,7,,,302
Sean Davis,33.0,SS,6-1,202,28.0,Maryland,2.0,0.0,7,,,303
Akeem Davis-Gaither,59.0,WLB,6-2,215,24.0,Appalachian State,9.0,0.0,7,,,304
Chris Evans,25.0,HB,5-11,216,24.0,Michigan,14.0,1.0,7,,,305
Jordan Evans,50.0,SLB,6-2,237,26.0,Oklahoma,5.0,0.0,7,,,306
Tre Flowers,33.0,LCB-RCB,6-3,200,26.0,Oklahoma State,11.0,0.0,7,,,307
Elliott Fry,3.0,K,6-0,170,27.0,South Carolina,1.0,0.0,7,,,308
Vernon Hargreaves,29.0,RCB,5-10,204,26.0,Florida,4.0,1.0,7,,,309
Clark Harris,46.0,LONG,6-5,255,37.0,Rutgers,17.0,0.0,7,,,310
Trayvon Henderson,41.0,S,6-0,209,26.0,Hawaii,2.0,0.0,7,,,311
Trey Hendrickson,91.0,RDE,6-4,270,27.0,Florida Atlantic,16.0,15.0,7,,,312
Tee Higgins,85.0,WR,6-3,218,22.0,Clemson,14.0,14.0,7,,,313
B.J. Hill,92.0,LDT,6-3,303,25.0,North Carolina State,16.0,2.0,7,,,314
Trey Hill,63.0,C-ROG,6-4,330,21.0,Georgia,13.0,3.0,7,,,315
Mike Hilton,21.0,NB,5-9,184,27.0,Mississippi,17.0,9.0,7,,,316
Darius Hodge,44.0,RDE,6-2,245,23.0,Marshall,4.0,0.0,7,,,317
Trey Hopkins,66.0,C,6-3,309,29.0,Texas,15.0,15.0,7,,,318
Sam Hubbard,94.0,LDE,6-5,265,26.0,Ohio State,16.0,16.0,7,,,319
Kevin Huber,10.0,P,6-1,211,36.0,Cincinnati,17.0,0.0,7,,,320
Trenton Irwin,16.0,WR,6-2,204,26.0,Stanford,7.0,0.0,7,,,321
Fred Johnson,74.0,ROT-LOT-ROG-LOG,6-7,326,24.0,Florida,5.0,1.0,7,,,322
Clay Johnston,44.0,SLB,6-1,232,25.0,Baylor,7.0,1.0,7,,,323
Keandre Jones,47.0,SLB,6-3,220,24.0,Ohio State; Maryland,4.0,0.0,7,,,324
Khalid Kareem,90.0,RDE,6-4,285,23.0,Notre Dame,7.0,1.0,7,,,325
Nick McCloud,29.0,LCB,6-0,192,23.0,North Carolina State; Notre Dame,2.0,0.0,7,,,326
Evan McPherson,2.0,K,5-11,185,22.0,Florida,16.0,0.0,7,,,327
Joe Mixon,28.0,RB,6-1,224,25.0,Oklahoma,16.0,16.0,7,,,328
Stanley Morgan,17.0,WR,6-0,205,25.0,Nebraska,17.0,1.0,7,,,329
Larry Ogunjobi,65.0,RDT,6-2,305,27.0,North Carolina-Charlotte,16.0,16.0,7,,,330
Samaje Perine,34.0,RB,5-11,234,26.0,Oklahoma,16.0,0.0,7,,,331
Darius Phillips,23.0,RCB,5-10,190,25.0,Western Michigan,12.0,0.0,7,,,332
Germaine Pratt,57.0,SLB,6-3,240,25.0,North Carolina State,15.0,15.0,7,,,333
Isaiah Prince,75.0,ROT-LOT,6-7,310,24.0,Ohio State,15.0,4.0,7,,,334
Wyatt Ray,93.0,LDE,6-3,250,25.0,Boston College,16.0,1.0,7,,,335
D.J. Reader,98.0,NT,6-3,341,27.0,Clemson,15.0,15.0,7,,,336
Riley Reiff,71.0,ROT,6-6,307,33.0,Iowa,12.0,12.0,7,,,337
Cam Sample,96.0,LDE,6-3,280,22.0,Tulane,14.0,0.0,7,,,338
Drew Sample,89.0,TE,6-5,251,25.0,Washington,17.0,8.0,7,,,339
Mason Schreck,86.0,TE,6-5,252,28.0,Buffalo,1.0,0.0,7,,,340
Tyler Shelvin,99.0,NT,6-3,246,23.0,Louisiana State,3.0,0.0,7,,,341
D'Ante Smith,70.0,LOT,6-4,274,23.0,East Carolina,2.0,1.0,7,,,342
Quinton Spain,67.0,LOG,6-4,331,30.0,West Virginia,16.0,16.0,7,,,343
Noah Spence,52.0,DE,6-2,251,27.0,Ohio State; Eastern Kentucky,2.0,0.0,7,,,344
Xavier Su'a-Filo,72.0,ROG,6-4,308,30.0,UCLA,2.0,2.0,7,,,345
Keaton Sutherland,64.0,OG,6-5,316,24.0,Texas A&M,1.0,0.0,7,,,346
Auden Tate,19.0,WR,6-5,228,24.0,Florida State,7.0,0.0,7,,,347
Trent Taylor,11.0,WR,5-8,179,27.0,Louisiana Tech,4.0,0.0,7,,,348
Michael Thomas,31.0,SS,5-11,196,31.0,Stanford,8.0,1.0,7,,,349
Mike Thomas,80.0,WR,6-1,195,27.0,DuPage JC; Dodge City CC; Southern Mississippi,12.0,1.0,7,,,350
Josh Tupou,68.0,LDT-NT,6-3,335,27.0,Colorado,17.0,9.0,7,,,351
C.J. Uzomah,87.0,TE,6-6,268,28.0,Auburn,16.0,16.0,7,,,352
Trae Waynes,26.0,RCB-LCB,6-0,190,29.0,Michigan State,5.0,4.0,7,,,353
Mitchell Wilcox,84.0,TE,6-5,245,25.0,South Florida,15.0,1.0,7,,,354
Jonah Williams,73.0,LOT,6-5,301,24.0,Alabama,16.0,16.0,7,,,355
Pooka Williams,12.0,RB,5-10,170,22.0,Kansas,1.0,0.0,7,,,356
Trayveon Williams,32.0,RB,5-9,200,24.0,Texas A&M,5.0,0.0,7,,,357
Brandon Wilson,40.0,FS,5-10,200,27.0,Houston,9.0,0.0,7,,,358
Logan Wilson,55.0,WLB,6-2,250,25.0,Wyoming,13.0,13.0,7,,,359
Renell Wren,95.0,DT,6-6,297,26.0,Arizona State,1.0,0.0,7,,,360
Montravius Adams,57.0,NT,6-4,304,26.0,Auburn,5.0,4.0,27,,,361
Marcus Allen,27.0,LILB,6-2,215,25.0,Penn State,16.0,1.0,27,,,362
Tyson Alualu,94.0,NT,6-3,304,34.0,California,2.0,2.0,27,,,363
Daniel Archibong,61.0,DT,6-6,200,24.0,Temple,2.0,0.0,27,,,364
Kalen Ballage,29.0,RB,6-3,230,26.0,Arizona State,17.0,0.0,27,,,365
Zach Banner,72.0,ROT,6-8,360,28.0,Southern California,7.0,0.0,27,,,366
Chris Boswell,9.0,K,6-2,185,30.0,Rice,17.0,0.0,27,,,367
Isaiah Buggs,96.0,NT,6-5,286,25.0,Mississippi Gulf Coast CC; Alabama,10.0,6.0,27,,,368
Devin Bush,55.0,LILB,5-11,233,23.0,Michigan,14.0,14.0,27,,,369
Taco Charlton,98.0,LOLB,6-6,273,27.0,Michigan,12.0,1.0,27,,,370
Chase Claypool,11.0,WR,6-4,229,23.0,Notre Dame,15.0,14.0,27,,,371
Rashaad Coward,79.0,OG,6-5,320,27.0,Old Dominion,5.0,0.0,27,,,372
Carlos Davis,73.0,DT-DE,6-2,320,25.0,Nebraska,4.0,0.0,27,,,373
Kevin Dotson,69.0,LOG,6-4,321,25.0,Louisiana-Lafayette,9.0,9.0,27,,,374
Eric Ebron,85.0,TE,6-4,254,28.0,North Carolina,10.0,3.0,27,,,375
Terrell Edmunds,34.0,SS,6-1,217,24.0,Virginia Tech,17.0,17.0,27,,,376
Trey Edmunds,33.0,RB,6-2,223,27.0,Virginia Tech; Maryland,2.0,0.0,27,,,377
B.J. Finney,67.0,LOG-ROG,6-4,318,30.0,Kansas State,7.0,2.0,27,,,378
Minkah Fitzpatrick,39.0,FS,6-1,202,25.0,Alabama,16.0,16.0,27,,,379
Pat Freiermuth,88.0,TE,6-5,258,23.0,Penn State,17.0,9.0,27,,,380
